amount,sender_balance,receiver_balance,transaction_hour,day_of_week,last_24h_tx_count,device_change_flag,country_change_flag,is_fraud
16.49,1493.38,444.4,10,1,0,0,1,0
39.12,122.18,1961.49,18,2,0,1,0,0
7.59,962.38,2043.63,1,1,3,0,1,0
81.02,760.3,2256.46,22,5,3,1,1,0
3.87,1845.74,1510.73,10,4,1,1,1,1
216.71,250.6,2682.16,2,4,2,0,1,0
73.97,1184.07,2809.03,16,6,2,0,1,0
11.08,1495.0,2422.11,9,0,3,0,0,0
0.28,975.47,1906.78,2,2,0,1,1,0
84.49,264.44,911.16,21,0,1,0,0,0
61.35,2006.55,2948.83,2,2,2,1,1,1
65.28,1106.12,822.41,20,0,3,0,1,0
73.76,1305.99,607.97,6,4,2,1,0,0
3.85,484.7,1326.46,1,5,4,1,1,0
22.19,994.35,170.52,0,4,1,0,1,0
6.16,870.17,2935.48,6,0,1,0,1,0
99.43,258.47,1765.3,19,2,1,1,0,0
48.82,270.08,1670.86,10,3,3,1,0,0
20.09,1696.66,1967.39,22,5,2,0,1,0
3.28,490.52,1491.07,5,2,5,1,0,0
18.62,416.59,96.19,22,0,3,1,1,1
19.67,1034.44,1836.93,3,2,1,0,0,0
65.39,1605.2,2148.52,18,1,4,0,0,0
50.74,184.01,1250.25,20,2,1,1,0,1
109.11,1266.96,2271.89,18,4,1,1,1,1
31.95,279.18,681.0,13,6,1,0,0,0
6.37,88.93,663.83,2,4,0,0,1,0
62.46,177.42,484.25,3,1,1,0,0,0
71.52,1741.51,1115.98,7,5,3,1,1,1
41.19,285.96,2541.04,17,2,6,0,1,0
73.69,173.54,2483.74,3,5,4,1,0,1
34.04,915.46,1148.47,10,3,4,0,0,0
36.98,1726.53,1767.36,15,2,2,0,1,1
27.89,560.08,2162.45,2,4,2,1,1,1
1.29,850.5,723.62,6,6,1,0,0,0
5.71,95.16,504.42,1,4,2,1,0,1
1.6,905.27,2916.29,0,5,1,0,1,1
50.59,1210.04,1852.67,0,0,3,0,1,0
18.87,1164.98,2944.25,5,4,2,0,1,0
35.52,707.05,1013.27,18,0,2,0,1,0
119.06,756.97,2109.1,6,4,4,0,0,0
14.34,236.52,667.81,23,4,3,1,0,1
26.41,766.34,783.6,4,6,1,1,0,0
70.44,278.43,1535.71,20,3,2,1,0,0
12.99,1548.52,958.85,17,0,3,0,0,0
4.01,1936.9,502.86,23,0,5,0,0,0
17.11,1957.56,788.64,12,4,2,0,1,0
8.79,1740.28,107.25,0,0,1,0,0,0
132.75,1338.33,2113.27,9,4,1,1,1,1
82.54,1487.26,1476.35,8,4,2,1,0,0
50.17,627.73,282.73,16,5,0,0,0,0
102.58,1367.81,515.08,0,2,2,1,1,1
81.4,998.14,307.6,0,0,3,0,0,0
10.32,979.53,1837.78,6,6,1,0,1,1
111.54,1629.52,282.63,3,1,1,0,1,0
38.75,609.77,2262.85,22,5,0,1,1,0
82.37,725.27,61.53,20,0,0,0,0,0
113.21,1963.25,748.13,11,6,2,1,1,1
19.14,141.03,2672.0,15,0,2,1,1,1
5.83,982.24,2155.59,13,3,0,0,1,0
12.93,1839.4,218.9,22,1,2,1,1,1
27.85,1252.47,2463.38,9,1,5,0,1,1
85.19,1182.54,1479.11,13,6,3,1,0,0
98.57,605.56,2540.35,6,3,3,0,0,0
0.35,693.47,1802.22,3,3,5,0,0,0
35.74,1741.32,2045.5,1,0,2,0,1,1
27.01,1149.85,2980.5,23,2,5,0,0,0
12.56,1046.9,697.01,17,6,1,0,0,0
6.38,214.54,1871.84,15,3,2,1,1,0
20.6,62.5,1380.96,8,1,3,0,1,0
143.16,2070.89,118.36,4,6,0,0,0,0
19.52,779.72,43.41,8,1,2,1,0,0
36.57,1246.96,357.69,7,0,2,0,0,0
60.7,229.33,1947.28,23,6,3,0,1,0
22.6,1392.0,1701.49,19,2,4,1,0,0
178.39,2044.2,1660.29,15,4,5,0,0,0
164.1,1319.67,95.57,19,6,2,1,0,1
14.5,275.47,1407.91,17,3,1,1,0,0
34.38,1202.01,2773.87,3,3,3,1,1,1
17.9,1552.93,1192.78,15,0,3,0,0,0
16.76,835.53,1874.77,3,5,3,1,1,1
1.88,1762.76,2339.46,5,5,4,0,0,0
47.02,1347.9,2351.78,2,2,2,1,1,0
34.93,1834.44,1557.84,17,1,2,1,0,0
2.64,1253.42,2573.86,14,1,0,1,0,1
16.33,287.59,1174.13,7,4,2,0,1,1
119.44,745.73,2666.08,17,1,1,1,0,1
13.69,425.26,720.68,23,5,3,0,0,0
7.83,1826.39,840.65,22,5,2,1,1,1
33.61,1556.81,159.36,2,3,3,1,1,0
212.2,1568.23,2386.75,5,4,4,0,1,0
13.86,622.78,1251.17,21,2,1,1,0,1
55.76,432.01,687.35,20,4,2,1,0,0
71.69,1587.03,695.37,23,6,2,0,1,0
13.57,967.14,2704.2,14,2,1,0,1,0
65.14,524.46,2501.75,11,5,3,1,1,1
22.93,1260.01,1660.59,4,1,3,1,0,0
50.03,140.29,1848.33,6,0,2,1,0,0
50.19,709.27,1422.98,21,4,1,0,1,0
38.37,980.8,1175.0,14,4,3,0,1,0
4.73,309.17,2746.43,6,3,4,1,1,1
90.18,2059.64,376.84,12,3,2,0,1,1
19.34,445.44,1255.34,2,5,3,0,0,0
10.32,279.72,1033.69,22,2,0,1,1,0
2.08,417.11,1494.45,12,0,2,0,1,0
44.69,1585.12,1372.9,2,6,2,0,0,0
56.59,913.35,1556.67,1,3,2,0,1,0
0.84,1136.02,419.76,22,3,1,0,1,0
35.88,87.69,1539.42,3,1,1,0,0,0
12.84,91.36,727.26,16,1,3,1,1,1
51.81,949.0,552.99,5,5,2,0,1,0
9.58,1644.72,194.5,10,5,1,0,1,0
58.71,1830.34,2287.96,5,3,1,0,0,0
24.45,207.0,1282.33,21,2,0,0,1,0
138.02,1219.36,1879.93,1,6,1,1,0,0
7.4,1834.73,2182.78,16,0,3,1,0,1
20.86,802.93,2037.95,2,3,2,0,0,0
6.02,1666.86,1411.5,11,2,0,1,1,1
129.31,405.36,1163.7,13,2,1,0,0,0
104.92,1976.36,1127.88,1,3,3,1,0,0
14.92,1520.25,1920.15,21,2,1,0,1,0
53.94,1937.2,1484.38,21,4,4,0,0,0
84.97,1441.44,2547.4,4,2,2,1,0,0
40.51,773.68,2624.11,9,3,3,0,0,0
37.71,1914.69,511.68,9,2,1,1,1,1
13.84,572.22,408.7,20,6,2,0,0,0
4.89,675.91,1891.2,8,3,2,1,0,0
113.76,1518.37,903.68,20,1,0,1,1,0
115.34,1648.32,55.71,12,3,4,1,1,1
50.13,1909.64,2665.93,9,2,3,1,0,0
20.7,438.26,680.7,5,3,3,0,1,0
21.48,1619.5,2787.84,10,0,1,0,0,0
64.72,1544.43,2152.3,3,3,2,1,1,1
113.7,250.65,2287.96,13,3,3,0,0,0
109.06,889.63,604.38,16,0,3,0,1,1
75.68,648.38,702.58,19,0,2,0,0,0
51.37,667.31,1563.8,1,0,2,1,0,1
4.39,1970.45,516.3,9,5,1,1,1,0
8.81,1297.94,916.3,2,4,3,0,1,0
114.41,1552.59,964.39,6,5,2,0,1,0
46.62,2000.09,478.89,6,3,2,1,1,0
0.46,761.09,615.55,0,5,3,0,1,0
5.35,1611.01,2365.66,7,5,1,0,0,0
54.46,929.18,501.59,22,0,3,0,0,0
0.25,1740.62,85.37,0,0,0,1,1,0
8.77,378.28,1888.06,7,1,3,1,0,1
39.78,1935.68,2927.95,13,5,3,1,0,1
58.87,504.23,993.64,13,4,3,0,1,1
52.77,711.95,355.97,1,3,3,0,0,0
12.7,1527.52,1711.16,7,6,3,0,1,0
62.27,855.84,2719.06,18,6,2,1,0,1
13.54,1233.88,2352.19,9,2,0,1,0,0
19.68,914.38,1867.55,6,4,4,1,1,0
68.62,1555.94,945.17,12,4,2,0,0,0
52.44,516.82,1625.64,21,1,3,1,1,1
94.6,220.93,273.73,20,3,2,0,0,0
53.59,660.45,2036.84,14,3,0,0,0,0
42.0,995.87,2175.29,10,0,3,1,0,0
4.92,349.28,2895.09,13,0,2,0,1,0
22.92,738.97,781.19,10,4,2,0,1,1
15.41,821.38,55.37,1,1,1,1,0,0
13.99,138.2,1636.83,1,3,2,0,1,0
180.62,1351.4,2120.37,11,1,4,1,1,1
24.97,1794.81,2371.22,14,2,2,1,1,0
111.3,423.27,581.22,16,6,0,1,0,0
49.87,1249.51,785.26,13,3,1,0,1,0
79.19,1412.02,1537.77,15,0,1,1,1,1
34.92,879.4,991.8,7,4,2,1,1,1
43.01,1448.19,2581.53,23,1,2,1,1,0
33.91,861.27,1421.28,16,6,4,0,1,1
10.86,1025.09,2398.74,4,6,6,0,1,0
64.09,88.72,1741.86,11,6,2,0,1,0
16.48,1403.0,2319.27,5,0,2,1,1,0
1.23,1327.3,998.02,17,4,1,1,1,1
51.85,138.27,2494.25,4,0,0,1,1,0
9.75,752.57,823.72,5,3,2,0,0,0
141.05,2099.32,1638.3,8,1,1,1,0,1
153.88,1001.15,642.02,14,2,2,1,0,0
123.18,1132.05,1426.58,9,5,3,0,0,0
23.11,1843.87,954.53,16,6,2,0,0,0
0.78,1438.13,800.11,18,0,1,1,1,0
131.78,1300.1,2900.96,11,5,3,1,1,1
27.95,1625.58,480.22,8,1,2,1,1,0
170.04,1900.13,2361.98,14,3,1,0,1,1
165.69,1084.9,2952.49,13,0,5,0,0,0
95.87,1051.34,59.7,0,3,3,1,0,0
17.44,795.68,2097.08,16,2,2,0,1,0
24.31,1958.06,758.74,0,6,1,0,1,0
95.24,1492.6,121.46,22,2,3,1,0,1
19.06,194.67,1208.67,20,6,1,1,1,1
9.29,1736.58,2805.65,21,4,2,0,1,1
40.69,1007.0,35.3,12,4,1,0,0,0
137.56,284.38,1763.66,7,4,2,0,1,0
59.54,1163.48,1504.19,12,3,1,0,1,0
42.21,882.37,2620.15,15,4,2,1,1,1
5.11,1761.83,252.01,1,1,3,0,0,1
47.73,463.68,2044.58,12,5,2,1,0,0
230.53,1885.19,2040.33,17,5,1,0,0,0
7.55,1127.35,2007.24,2,3,4,1,0,0
36.52,155.19,2827.0,12,3,3,0,0,0
104.93,2048.9,2469.26,18,4,0,1,0,1
67.5,1097.6,125.92,12,6,1,1,0,0
59.7,648.54,1413.25,18,5,0,1,1,0
60.61,1004.73,1193.86,3,5,1,0,0,0
22.27,1739.41,930.44,18,4,2,0,1,0
17.38,634.14,1354.01,17,3,4,0,0,0
82.87,476.3,1152.58,5,2,1,0,1,0
83.07,349.92,1297.0,18,6,2,1,1,1
100.9,703.64,2937.79,3,2,4,0,0,0
122.23,1684.53,265.9,3,4,2,1,1,1
35.8,984.34,2766.69,23,2,2,1,0,0
34.81,497.5,1440.71,6,1,2,0,1,0
80.05,420.76,1871.23,6,1,5,1,1,1
52.49,724.62,2490.55,22,1,2,1,1,1
60.53,1940.98,1081.39,15,3,0,0,0,0
79.43,772.05,1291.27,15,3,3,0,1,1
110.37,2086.74,1228.56,4,3,4,1,1,1
20.62,996.23,1124.19,14,3,3,0,0,0
23.55,390.09,2776.59,22,3,2,1,0,0
4.93,1788.3,2486.79,3,4,2,0,1,0
43.17,969.28,327.0,23,2,5,0,0,0
1.83,1424.08,324.37,12,4,2,1,0,1
31.33,1998.92,1283.61,18,2,3,0,0,0
39.11,148.96,295.97,6,4,4,0,0,0
16.88,219.3,1857.28,11,1,2,0,1,1
44.68,1488.39,431.07,8,0,1,1,0,0
1.55,572.38,1567.12,16,3,3,1,1,1
1.9,378.66,21.66,1,0,2,0,0,0
86.47,174.8,949.79,15,0,1,1,0,0
22.33,75.8,2031.57,6,1,2,1,0,1
6.79,1558.02,1452.12,17,0,1,1,1,1
36.93,314.45,2934.81,6,0,3,0,1,0
73.48,1014.24,2622.31,0,1,2,0,1,1
12.16,1227.89,1077.21,2,2,1,0,1,1
48.76,911.18,136.46,20,4,3,1,0,0
4.46,68.4,2536.88,10,5,1,1,1,0
2.65,1571.82,2733.7,21,0,1,0,0,0
37.9,68.82,2461.88,14,3,2,0,1,0
38.9,1565.06,383.85,2,1,3,0,0,0
50.73,1838.41,2993.75,23,6,2,0,1,0
64.75,936.1,775.75,12,6,4,1,0,0
186.18,1261.91,2172.61,3,0,2,0,0,0
36.31,995.51,2724.1,22,5,1,1,1,1
19.5,804.03,707.06,21,2,5,0,1,0
79.28,1855.25,2724.78,7,2,2,0,0,0
15.79,1804.72,928.44,21,5,3,1,0,0
28.9,707.17,2929.24,3,3,4,0,1,0
4.09,1238.08,843.78,17,0,0,0,0,0
1.28,1855.83,2860.31,6,3,1,1,1,1
164.37,2088.87,160.63,10,2,1,1,0,1
90.39,1113.22,2127.82,3,6,1,0,1,1
59.53,970.65,1596.33,12,2,0,1,1,0
26.29,590.89,1433.63,8,4,1,1,1,0
9.52,1927.68,670.48,8,2,1,0,0,0
8.51,302.71,2116.79,22,1,2,0,1,0
14.4,1178.26,572.43,20,4,0,0,1,0
39.84,612.12,1658.53,18,3,3,1,1,1
62.69,627.92,759.74,2,2,3,1,1,0
53.97,869.86,2866.86,11,5,2,0,1,0
16.42,2014.02,85.89,10,1,3,0,0,0
154.91,274.29,599.18,19,4,1,0,0,0
66.95,1228.25,726.93,10,1,0,0,0,0
40.41,214.73,1242.2,16,4,1,1,1,1
47.3,364.8,698.19,20,4,2,0,0,0
27.2,911.93,1474.05,13,4,0,1,1,1
14.23,1040.05,2617.4,15,5,1,1,0,1
22.0,547.0,2136.19,23,3,1,0,0,0
70.91,710.66,1739.89,9,4,4,1,0,0
0.72,183.78,267.01,3,4,1,1,0,0
6.17,619.58,2081.98,9,1,2,1,1,0
2.35,1935.8,499.24,19,4,4,0,0,0
2.08,1892.05,2359.1,11,3,4,0,0,0
96.71,773.12,750.17,8,6,0,0,1,0
60.81,1206.81,1251.15,14,5,2,0,0,0
32.14,1852.23,1051.41,8,5,0,0,0,0
5.15,27.46,2576.44,6,1,2,0,1,0
33.83,1657.09,379.63,23,6,1,1,0,0
32.07,1929.33,1696.93,11,4,3,1,0,1
9.51,201.25,426.18,19,1,0,1,1,0
28.44,359.72,2114.39,23,5,2,1,1,1
25.42,1947.31,2715.23,13,3,3,1,0,1
47.84,1127.54,1303.82,21,1,3,1,0,0
50.41,88.66,1464.28,15,3,3,1,0,1
2.32,525.01,2782.27,18,6,2,1,1,1
23.47,928.86,1562.97,22,6,1,0,1,0
49.16,1438.05,1462.8,2,2,2,0,0,0
34.97,1503.96,1734.99,10,4,0,1,1,1
97.07,2087.96,2067.69,22,3,2,1,1,1
53.75,635.9,320.65,20,4,2,0,0,0
8.89,1089.95,2463.33,19,6,2,0,1,0
3.66,1074.97,1306.52,18,3,1,0,1,0
51.42,868.65,217.05,7,0,3,1,1,0
1.34,347.97,2358.55,19,6,3,1,1,1
44.07,1999.21,1130.85,7,0,4,0,0,0
140.86,1848.96,301.1,2,0,1,1,1,0
42.84,1044.52,1901.34,9,6,2,1,0,1
24.57,1235.03,2640.39,12,3,1,0,0,0
51.54,513.79,2663.26,8,5,1,0,0,0
30.65,1122.79,2872.99,5,5,3,0,0,0
39.44,1432.43,2603.12,14,4,2,1,1,1
141.91,1177.09,6.42,15,0,4,0,0,0
24.4,2005.07,1140.72,4,4,4,0,0,0
162.45,1389.02,2455.63,20,3,1,0,1,0
117.88,866.12,1098.76,12,4,4,1,1,1
10.89,1557.47,1804.65,18,4,5,1,1,0
3.59,352.81,1818.95,1,0,1,1,0,1
5.31,780.5,1095.08,5,6,3,0,0,0
0.92,701.37,2713.42,0,5,3,1,1,1
4.96,874.26,1509.69,14,1,2,1,1,0
57.44,1623.18,1394.35,14,2,1,0,0,0
3.69,977.19,2992.54,13,3,2,1,1,1
19.21,1609.3,1480.5,6,3,2,1,1,1
93.18,1250.39,535.19,4,3,3,1,0,0
1.18,691.9,1539.21,19,2,0,1,1,1
84.23,1706.09,2442.05,15,1,3,1,1,0
16.55,500.75,2330.58,16,5,1,1,1,1
6.29,462.81,2365.75,10,4,2,1,1,1
59.66,1073.62,2124.07,14,5,0,1,1,1
49.57,578.66,762.65,19,3,0,0,1,0
104.97,133.05,2586.25,15,4,3,0,0,0
66.41,1366.52,2680.33,2,0,2,0,0,0
81.35,1108.43,582.46,5,5,1,0,1,0
16.57,913.15,391.37,20,0,2,0,0,0
9.77,1944.04,2926.81,22,0,0,0,1,1
69.44,1216.13,2604.97,12,6,2,0,0,0
82.21,1810.44,2679.71,0,5,3,1,1,1
232.85,520.36,2659.13,20,3,2,1,0,1
26.6,1169.32,1625.06,13,2,2,1,1,1
23.26,1760.54,1939.21,1,3,3,1,1,0
74.9,1245.28,1636.09,1,0,2,1,1,0
20.84,1459.69,153.62,14,0,3,0,0,0
133.51,883.88,2236.51,17,3,1,0,0,0
97.74,291.71,1516.0,8,2,0,1,0,0
28.02,949.24,1943.13,2,2,2,1,1,1
69.49,864.5,1507.92,3,6,2,1,0,1
70.23,1805.68,1475.43,14,4,1,0,0,0
5.44,500.99,515.37,4,1,4,0,1,0
116.42,2050.22,836.14,19,0,0,1,1,0
35.19,1951.88,476.56,19,2,1,0,0,0
87.57,590.36,587.0,4,5,4,1,1,1
19.29,721.91,2918.93,9,6,2,1,0,0
112.94,1905.1,459.34,15,0,2,0,1,0
24.65,1958.23,807.81,11,1,2,1,1,0
0.54,892.98,1771.77,13,5,0,0,0,0
117.9,766.68,1830.54,21,0,1,1,1,1
4.79,1061.72,461.92,10,6,1,1,1,1
19.23,1397.89,2381.15,18,6,3,0,1,0
149.85,704.06,2355.61,5,2,2,0,1,0
150.4,1625.98,711.95,9,4,1,0,1,1
42.6,155.4,866.0,19,3,4,1,1,0
49.96,158.06,2813.96,2,6,3,1,1,0
29.75,808.46,2477.01,21,5,1,1,1,1
17.35,730.76,2093.39,14,3,4,1,1,0
19.92,658.03,246.7,10,2,4,1,1,1
55.82,1042.95,1254.79,21,2,1,0,1,0
69.79,718.05,1677.91,1,5,2,0,1,1
78.41,471.0,562.23,23,1,2,1,0,1
77.94,703.78,1344.68,5,6,3,0,1,0
4.78,1954.84,1803.08,16,5,1,0,1,0
34.1,862.22,982.13,17,0,2,1,1,1
2.96,897.94,2342.83,3,1,2,0,0,0
39.87,1197.19,2521.35,22,3,3,1,0,0
29.13,1995.98,970.83,8,0,1,1,0,1
109.33,600.12,2515.97,9,1,0,0,0,0
21.61,1387.36,310.73,20,3,1,0,1,0
6.23,1441.04,2513.19,1,0,1,1,1,0
7.72,1226.3,458.25,10,4,1,1,1,1
71.67,257.94,248.78,10,6,2,1,0,0
48.15,1405.13,1925.33,10,5,1,0,1,0
5.33,142.88,1415.81,0,5,1,1,0,0
4.39,1200.71,2723.67,13,5,7,1,0,1
60.36,1542.13,1089.57,0,4,0,1,0,0
3.78,433.61,861.46,20,6,1,1,1,0
86.26,1771.09,1502.2,22,1,5,0,1,0
61.25,131.65,1367.84,8,6,4,1,1,1
4.24,1693.43,1033.28,23,2,3,0,1,1
4.43,930.48,2081.22,0,0,1,1,0,1
215.77,658.77,2278.69,20,1,1,1,1,1
23.44,299.66,2558.95,21,2,3,1,1,0
23.15,1930.23,2918.57,21,5,4,1,1,0
83.78,238.38,799.97,3,5,0,0,0,0
147.11,553.31,2148.28,0,5,1,0,0,0
213.44,915.61,1182.77,18,2,2,0,1,0
69.99,1314.26,2031.25,9,0,2,1,1,0
23.6,1117.75,1427.95,14,0,2,1,0,0
4.36,264.39,2981.32,19,2,1,0,0,0
75.06,661.62,2186.71,3,3,1,0,1,0
40.87,525.99,2857.47,19,5,1,0,0,1
27.6,462.55,2504.91,13,1,3,1,0,0
118.41,946.59,2708.7,4,0,6,1,0,1
5.89,1416.91,2443.26,14,6,4,0,0,0
33.93,476.66,1377.48,14,2,3,0,0,0
0.57,740.26,755.37,15,3,1,0,0,0
31.62,819.55,1110.96,15,4,6,1,0,1
2.9,1956.05,60.71,3,2,2,1,1,1
6.32,1916.11,1571.98,8,6,2,1,0,1
6.25,1608.52,1515.17,0,3,0,1,1,1
52.38,543.28,1575.75,4,4,4,1,1,1
68.53,213.92,2922.09,8,3,3,0,1,1
43.78,684.42,2734.36,19,0,1,0,1,1
163.74,704.66,485.14,4,2,5,1,1,1
23.49,1040.28,1106.65,3,6,2,0,1,1
16.82,1574.5,1271.87,15,4,1,1,0,0
101.48,1819.54,1081.6,1,3,1,0,0,0
12.65,1703.93,2395.49,15,4,0,0,1,0
165.14,890.89,1572.11,17,1,3,0,1,0
0.61,1378.21,1716.3,1,6,3,1,0,0
175.13,807.67,2559.04,15,2,2,0,0,0
2.21,133.41,2417.78,0,0,3,1,1,0
110.89,1517.0,396.63,15,4,1,0,1,0
37.51,67.07,2141.74,2,5,1,0,1,0
247.84,1072.11,1306.31,14,3,0,0,0,0
3.83,669.29,883.95,10,5,2,0,0,0
40.36,1430.18,150.06,9,4,3,0,0,0
174.18,1709.01,1461.75,16,6,2,0,1,0
37.02,652.17,1066.31,3,5,2,1,0,0
49.63,1674.77,754.54,16,3,0,1,1,0
59.5,654.39,2084.02,3,4,1,1,1,1
30.31,928.5,2308.46,18,0,1,1,0,0
49.38,1506.15,734.37,0,0,1,1,0,0
43.89,1432.8,148.34,13,2,0,1,0,0
115.71,2090.57,2546.26,23,0,1,0,1,0
2.33,460.4,29.88,10,4,2,0,0,0
16.49,1344.5,2811.34,6,6,2,0,1,0
150.2,1373.47,1882.86,16,4,3,1,0,0
110.48,1941.53,965.54,3,0,2,1,1,1
30.41,351.57,739.43,9,1,7,0,0,1
48.4,1554.48,27.02,16,4,1,0,1,0
16.24,1157.09,706.41,3,2,2,0,0,0
10.42,567.01,413.18,18,1,1,0,1,0
31.15,985.28,1836.5,17,0,2,1,0,1
21.8,696.02,499.64,16,6,3,0,0,0
43.81,1206.64,1585.89,5,3,2,1,0,0
4.05,1783.16,1770.35,6,4,3,1,0,0
183.25,1326.17,894.13,5,3,2,0,1,0
214.19,1481.32,105.19,11,5,3,1,0,1
59.89,1102.2,111.76,8,2,3,1,1,0
38.4,150.22,79.04,17,1,4,0,0,0
18.52,491.91,2217.37,1,3,2,1,0,0
84.05,1073.13,954.03,16,2,3,1,0,0
57.72,685.09,2388.9,20,3,1,0,0,0
8.87,380.58,1295.2,0,3,1,0,1,1
120.92,1134.14,1358.99,22,2,3,0,1,0
86.45,738.84,1538.65,8,4,2,0,0,0
149.59,673.22,2139.09,5,3,2,0,1,0
64.68,998.01,820.51,1,2,2,1,1,0
47.52,322.76,364.76,5,3,1,0,0,0
27.09,1883.3,1668.17,8,6,2,0,0,0
134.95,1871.68,980.93,2,4,0,1,1,1
100.52,1518.68,1327.47,15,6,2,1,1,0
2.31,223.68,1940.84,23,6,1,1,0,1
1.34,1555.34,1482.38,14,2,3,0,0,0
23.62,1641.46,1860.84,11,6,4,0,0,0
83.18,1621.03,1632.6,22,3,3,0,0,0
218.21,455.0,2219.39,7,0,5,1,0,0
8.15,1299.53,2117.81,5,4,0,0,0,0
45.09,1715.4,1602.57,2,3,1,1,0,0
23.97,1182.9,2036.71,22,1,4,1,0,0
175.19,1471.54,2620.68,3,2,1,1,0,1
92.3,1014.44,1296.81,9,3,4,1,0,1
91.11,1153.24,1238.29,13,4,1,1,1,1
31.62,110.03,2292.74,20,6,4,1,1,1
26.79,1308.33,1747.66,23,4,2,0,1,0
15.97,188.05,213.02,14,1,2,1,0,0
2.9,878.58,2676.34,6,6,0,0,1,0
100.02,692.4,92.35,6,1,2,1,0,0
83.81,1179.21,2245.19,7,5,3,1,0,1
408.62,684.12,2276.38,9,5,3,1,0,1
284.74,1671.11,2859.33,18,3,2,1,1,0
40.53,1632.6,162.4,18,0,2,1,0,0
73.26,408.34,1790.57,1,6,2,1,0,0
144.81,362.39,1283.52,14,4,1,1,1,1
94.74,394.32,991.9,0,0,3,0,0,0
14.21,1769.69,270.96,9,6,0,1,1,0
29.94,1091.04,1687.96,5,6,4,0,1,0
6.91,946.76,1437.12,21,6,2,1,0,0
154.01,376.37,313.66,12,6,0,1,1,1
46.59,1349.21,1837.47,9,0,1,0,1,0
12.98,1750.3,2213.86,11,3,2,0,0,0
55.69,1713.78,2301.83,23,2,3,1,0,1
48.13,1303.98,2716.12,5,2,2,0,0,0
22.17,181.97,1228.41,5,2,2,1,0,1
6.03,239.7,2859.22,0,1,2,0,1,0
55.67,163.79,2596.29,11,6,2,0,0,0
36.73,559.11,889.5,22,6,2,0,1,1
73.99,353.96,477.85,22,4,2,0,0,0
36.72,564.22,1306.17,9,1,1,0,1,0
